开发者,仓库地址,教务系统类型,学校
2190303755,https://github.com/2190303755/BUUSchedule,正方,北京联合大学
Ark1tect,https://github.com/Arkitect-z/Xiaoai-Schedule-For-New-Zhengfang-System,新正方,济南大学
chen6019,https://github.com/chen6019/class-timetable,正方,重庆化工职业学院
浮沉@,https://github.com/viocha/supwisdom,树维,-
LukeJean,https://github.com/LukeJean/XiaoAiCurriculumSchedule,强智,-
Jaker,https://github.com/ZKJJaker/xiaoai-shuwei-course,树维,-
cos,https://github.com/yusixian/AISchedule_myparser,新正方,广西大学
cos,https://gitee.com/cos_123/AISchedule_myparser,新正方,广西大学
cos,https://github.com/yusixian/AISchedule_myparser,新正方,河南工业大学
BuerYouth,https://gitee.com/bueryouth/schedule,青果,-
雨中人,https://github.com/wanshijie1/AHPU-XiaoAi,树维,安徽工程大学
maya,https://gitee.com/mayapony/AIschedule/tree/master/安徽工程大学,,安徽工程大学
cos,https://gitee.com/cos_123/AISchedule_myparser,新正方,河南工业大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/树维/安徽科技学院,树维,安徽科技学院
maya,https://gitee.com/mayapony/Aischedule,自研,安徽师范大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/树维/安徽医科大学,树维,安徽医科大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/金智教务/安徽医学高等专科学校,金智,安徽医学高等专科学校
铃音yuy,https://github.com/imshixin/AiSchedule,青果,安阳信学院
Moeshin,https://github.com/moeshin/ai-schedule-chaoxing,超星,鞍山职业技术学院
Moeshin,https://gitee.com/moeshin/ai-schedule-chaoxing,超星,鞍山职业技术学院
EIAO,https://github.com/EI-AO/AISchedule-for-BUU,正方,北京联合大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/强智教务/iframe强智/北京财贸职业学院,强智iframe,北京财贸职业学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/强智教务/手机端/北京财贸职业学院,强智手机端,北京财贸职业学院
BobLiu,https://github.com/BobLiu0518/XiaoaiSchedule-BTBU,强智,北京工商大学
Mean,https://github.com/MeanZhang/buaa-ai-schedule,自研,北京航空航天大学
WhXcjm,https://github.com/WhXcjm/buaa-byxt-aischedule,自研,北京航空航天大学_本研综合教务系统
幻华,https://github.com/zhangkaihua88/BUAA-Postgraduate-Aischedule,自研,北京航空航天大学_研究生
emsallen,https://github.com/emsallen/Deyang-Agriculture-College-AI-Schedule,正方,德阳农业科技职业学院
MarioZZJ,https://github.com/MarioZZJ/Mi-AI-Schedule_Plugin/tree/master/新版正方,新正方,-
MarioZZJ,https://github.com/MarioZZJ/Mi-AI-Schedule_Plugin/tree/master/旧版正方,正方,-
双霖,https://github.com/linesoft2/BiptScheduleParser,优慕课,北京石油化工学院
ZZHow,https://github.com/ZZHow1024/Mi-AI-Schedule-BISTU,自研,北京信息科技大学
Ranjyaa,https://github.com/ranjingya/AISchedule,正方,江苏科技大学
写bug的小王,https://github.com/trueWangSyutung/XiaoAiScheduleOfBISTU,自研,北京信息科技大学
Teages,https://github.com/Teages/AIschedu-BUPT,,北京邮电大学
山南有樛木,https://github.com/codelumos/xiaomi-aischedule-adapter/tree/main/北京中医药大学-教务管理系统,强智,北京中医药大学
lnoong,https://github.com/lnoong/AIShedule,自研,常州大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/超星/成都大学,超星,成都大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/强智教务/iframe强智/成都工业学院,强智iframe,成都工业学院
wenya13,https://github.com/wenya13/AIschedu-HPU_schedule,新正方,青岛工学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/树维/成都信息工程大学,树维,成都信息工程大学
ZimoLoveShuang,https://github.com/ZimoLoveShuang/cuit-ai-timetable,金智,成都信息工程大学
yuexps,https://github.com/yuexps/aischedule-gczy,新正方,重庆工程职业技术学院
Zero Night,https://github.com/LOVE-START/AISchedule-NFU,正方,广州南方学院
铃音yuy,https://github.com/imshixin/AiSchedule,自研,成都职业技术学院
WJZ_P,https://github.com/WJZ-P/CQU-class-Import,自研,重庆大学
eucalyzlx,https://github.com/eucalyzlx/MI-CCIBE-SCHEDULE,,重庆对外经贸学院
zihuv,https://github.com/zihuv/xiaoai,正方,-
zlxzgtc,https://github.com/zlxzgtc/xiaoaickb,正方,-
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/树维/重庆科技学院,树维,重庆科技学院
铃音yuy,https://github.com/imshixin/AiSchedule,新青果,重庆青年职业技术学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/强智教务/iframe强智/重庆人文科技学院,强智iframe,重庆人文科技学院
cqwu-ehall,https://github.com/cqwu-ehall/AIShedule_cqwu,青果,重庆文理学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/树维/重庆医科大学,树维,重庆医科大学
半糖 抱米花,https://github.com/251623126/Schedule-CHZC,新青果,滁州职业技术学院
橙汁,https://github.com/Boranget/xiaoAiKeChengBiaoShiPei,正方,-
東钖,https://github.com/Amekuro/HYPT-ClassSchedule-ImportTool,正方,河源职业技术学院
繁星_逐梦,https://github.com/printlndarling/wnu-AIShedule,正方,渭南师范学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/YN智慧校园/德阳通用电子科技学校,YN智慧校园,德阳通用电子科技学校
贺兰星辰,https://github.com/shaokeyibb/aischedule-xaufe,正方,西安财经大学
花雨落逝,https://github.com/Huayuluoshi/Shanxi-Datong-University-MI-Schedule,正方,山西大同大学
靠墙的钴-60,https://github.com/kqakqakqa/xiaoai-schedule-parser,新正方,福建医科大学
铃音yuy,https://github.com/imshixin/AiSchedule,强智,佛山职业技术学院
口水水水龙,https://github.com/LinJ0866/Xiaoai-Schedule-For-Graduate-HDU,正方,杭州电子科技大学_研究生学位管理系统
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/强智教务/普版/甘肃农业大学,强智,甘肃农业大学
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/强智教务/普版/甘肃农业大学,强智,甘肃农业大学
王宇 WangYu,https://github.com/saoxiaoyu/AIShedule-GNUST,青果,赣南科技学院
铃音yuy,https://github.com/imshixin/AiSchedule,自研,广东江门中医药职业学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/乘方教务/广东交通职业技术学院,乘方,广东交通职业技术学院
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/强智教务/普版/广东交通职业技术学院,强智,广东交通职业技术学院
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/强智教务/普版/广东交通职业技术学院,强智,广东交通职业技术学院
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/强智教务/普版/广东南华工商职业学院,强智,广东南华工商职业学院
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/强智教务/普版/广东南华工商职业学院,强智,广东南华工商职业学院
